--- Categories ---
E'lonlar | Объявления | Announcements
Moliyaviy hisobotlar | Важные факты | Important Facts
Muhim faktlar | Важные факты | Important Facts
Ustav | Устав | Charter

--- Documents ---
«Oʻzenergotaʼminlash» AJ ortiqcha tovar-moddiy zaxiralarini sotadi | АО "O'zenergotaminlash" реализует излишки товарно-материальных запасов | JSC "O'zenergotaminlash" to sell surplus inventory
Boshqalar_2016-07-21 |  | 
Boshqalar_2016-10-13 |  | 
Boshqalar_2017-10-26 |  | 
Boshqalar_2018-06-21 |  | 
Boshqalar_2019-03-28 |  | 
Boshqalar_2024-01-22 |  | 
Boshqalar_2024-01-22_1 |  | 
Qimmatli qog'ozlar bo'yicha daromad yig'ilishi_2019-04-25 |  | 
Qimmatli qog'ozlar bo'yicha daromad yig'ilishi_2020-10-09 |  | 
Qimmatli qog'ozlar bo'yicha daromad yig'ilishi_2021-06-15 |  | 
Qimmatli qog'ozlar bo'yicha daromad yig'ilishi_2022-07-02 |  | 
Qimmatli qog'ozlar bo'yicha daromad yig'ilishi_2023-07-10 |  | 
Qimmatli qog'ozlar bo'yicha daromad yig'ilishi_2024-03-26 |  | 
Qimmatli qog'ozlar bo'yicha daromad yig'ilishi_2025-07-09 |  | 
Qimmatli qog'ozlarni amalga oshirish muddati_2016-01-22 |  | 
Qimmatli qog'ozlarni chiqarish_2016-03-18 |  | 
Qimmatli qog'ozlarni chiqarish_2016-03-18_1 |  | 
2016-03-22_Nizomlar |  | 
2024-09-23_Ustav |  | 
2026-02-13_Ustav |  | 
